Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[disease]	Characteristics[growth condition]	Characteristics[sintering temperature]	Unit[temperature unit]	Term Source REF	Term Accession Number	Characteristics[etching process]	Provider	Material Type	Description	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Assay Name	Technology Type	Array Design REF	Term Source REF	Protocol REF	Array Data Matrix File	Comment [ArrayExpress Data Matrix FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[growth condition]	Factor Value[sintering temperature]	Unit[temperature unit]	Term Source REF	Term Accession Number
7509379018_D	Homo sapiens	bone	fibroblast	MG-63 cell	osteosarcoma	polylactic acid hydroxyapatite composite	not applicable	  	  	  	0 M NaOH	Xpand Biotechnology	cell	MG-63_PLA/nCaP_Xpand Biotechnology_0 M NaOH_rep1	P-MTAB-79114	P-MTAB-79119	P-MTAB-79120	P-MTAB-79122	P-MTAB-79115	7509379018_D	P-MTAB-79116	7509379018_D:biotin	biotin	P-MTAB-79117	7509379018_D:biotin	array assay	A-MEXP-2087	ArrayExpress	P-MTAB-79118	StudyID_010_Raw_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.raw.1.zip	P-MTAB-79121	StudyID_010_Processed_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.processed.1.zip	polylactic acid hydroxyapatite composite	not applicable	  	    	        
7509379059_C	Homo sapiens	bone	fibroblast	MG-63 cell	osteosarcoma	polylactic acid hydroxyapatite composite	not applicable	  	  	  	0 M NaOH	Xpand Biotechnology	cell	MG-63_PLA/nCaP_Xpand Biotechnology_0 M NaOH_rep3	P-MTAB-79114	P-MTAB-79119	P-MTAB-79120	P-MTAB-79122	P-MTAB-79115	7509379059_C	P-MTAB-79116	7509379059_C:biotin	biotin	P-MTAB-79117	7509379059_C:biotin	array assay	A-MEXP-2087	ArrayExpress	P-MTAB-79118	StudyID_010_Raw_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.raw.1.zip	P-MTAB-79121	StudyID_010_Processed_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.processed.1.zip	polylactic acid hydroxyapatite composite	not applicable	  	    	        
7509379059_J	Homo sapiens	bone	fibroblast	MG-63 cell	osteosarcoma	polylactic acid hydroxyapatite composite	not applicable	  	  	  	0 M NaOH	Xpand Biotechnology	cell	MG-63_PLA/nCaP_Xpand Biotechnology_0 M NaOH_rep2	P-MTAB-79114	P-MTAB-79119	P-MTAB-79120	P-MTAB-79122	P-MTAB-79115	7509379059_J	P-MTAB-79116	7509379059_J:biotin	biotin	P-MTAB-79117	7509379059_J:biotin	array assay	A-MEXP-2087	ArrayExpress	P-MTAB-79118	StudyID_010_Raw_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.raw.1.zip	P-MTAB-79121	StudyID_010_Processed_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.processed.1.zip	polylactic acid hydroxyapatite composite	not applicable	  	    	        
7509379016_H	Homo sapiens	bone	fibroblast	MG-63 cell	osteosarcoma	polylactic acid hydroxyapatite composite	not applicable	  	  	  	0.125 M NaOH	Xpand Biotechnology	cell	MG-63_PLA/nCaP_Xpand Biotechnology_0.125 M NaOH_rep2	P-MTAB-79114	P-MTAB-79119	P-MTAB-79120	P-MTAB-79122	P-MTAB-79115	7509379016_H	P-MTAB-79116	7509379016_H:biotin	biotin	P-MTAB-79117	7509379016_H:biotin	array assay	A-MEXP-2087	ArrayExpress	P-MTAB-79118	StudyID_010_Raw_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.raw.1.zip	P-MTAB-79121	StudyID_010_Processed_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.processed.1.zip	polylactic acid hydroxyapatite composite	not applicable	  	    	        
7509379050_E	Homo sapiens	bone	fibroblast	MG-63 cell	osteosarcoma	polylactic acid hydroxyapatite composite	not applicable	  	  	  	0.125 M NaOH	Xpand Biotechnology	cell	MG-63_PLA/nCaP_Xpand Biotechnology_0.125 M NaOH_rep3	P-MTAB-79114	P-MTAB-79119	P-MTAB-79120	P-MTAB-79122	P-MTAB-79115	7509379050_E	P-MTAB-79116	7509379050_E:biotin	biotin	P-MTAB-79117	7509379050_E:biotin	array assay	A-MEXP-2087	ArrayExpress	P-MTAB-79118	StudyID_010_Raw_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.raw.1.zip	P-MTAB-79121	StudyID_010_Processed_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.processed.1.zip	polylactic acid hydroxyapatite composite	not applicable	  	    	        
7509379052_D	Homo sapiens	bone	fibroblast	MG-63 cell	osteosarcoma	polylactic acid hydroxyapatite composite	not applicable	  	  	  	0.125 M NaOH	Xpand Biotechnology	cell	MG-63_PLA/nCaP_Xpand Biotechnology_0.125 M NaOH_rep1	P-MTAB-79114	P-MTAB-79119	P-MTAB-79120	P-MTAB-79122	P-MTAB-79115	7509379052_D	P-MTAB-79116	7509379052_D:biotin	biotin	P-MTAB-79117	7509379052_D:biotin	array assay	A-MEXP-2087	ArrayExpress	P-MTAB-79118	StudyID_010_Raw_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.raw.1.zip	P-MTAB-79121	StudyID_010_Processed_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.processed.1.zip	polylactic acid hydroxyapatite composite	not applicable	  	    	        
7509379016_B	Homo sapiens	bone	fibroblast	MG-63 cell	osteosarcoma	polylactic acid hydroxyapatite composite	not applicable	  	  	  	0.25 M NaOH	Xpand Biotechnology	cell	MG-63_PLA/nCaP_Xpand Biotechnology_0.25 M NaOH_rep1	P-MTAB-79114	P-MTAB-79119	P-MTAB-79120	P-MTAB-79122	P-MTAB-79115	7509379016_B	P-MTAB-79116	7509379016_B:biotin	biotin	P-MTAB-79117	7509379016_B:biotin	array assay	A-MEXP-2087	ArrayExpress	P-MTAB-79118	StudyID_010_Raw_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.raw.1.zip	P-MTAB-79121	StudyID_010_Processed_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.processed.1.zip	polylactic acid hydroxyapatite composite	not applicable	  	    	        
7509379022_A	Homo sapiens	bone	fibroblast	MG-63 cell	osteosarcoma	polylactic acid hydroxyapatite composite	not applicable	  	  	  	0.25 M NaOH	Xpand Biotechnology	cell	MG-63_PLA/nCaP_Xpand Biotechnology_0.25 M NaOH_rep2	P-MTAB-79114	P-MTAB-79119	P-MTAB-79120	P-MTAB-79122	P-MTAB-79115	7509379022_A	P-MTAB-79116	7509379022_A:biotin	biotin	P-MTAB-79117	7509379022_A:biotin	array assay	A-MEXP-2087	ArrayExpress	P-MTAB-79118	StudyID_010_Raw_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.raw.1.zip	P-MTAB-79121	StudyID_010_Processed_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.processed.1.zip	polylactic acid hydroxyapatite composite	not applicable	  	    	        
7509379050_A	Homo sapiens	bone	fibroblast	MG-63 cell	osteosarcoma	polylactic acid hydroxyapatite composite	not applicable	  	  	  	0.25 M NaOH	Xpand Biotechnology	cell	MG-63_PLA/nCaP_Xpand Biotechnology_0.25 M NaOH_rep3	P-MTAB-79114	P-MTAB-79119	P-MTAB-79120	P-MTAB-79122	P-MTAB-79115	7509379050_A	P-MTAB-79116	7509379050_A:biotin	biotin	P-MTAB-79117	7509379050_A:biotin	array assay	A-MEXP-2087	ArrayExpress	P-MTAB-79118	StudyID_010_Raw_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.raw.1.zip	P-MTAB-79121	StudyID_010_Processed_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.processed.1.zip	polylactic acid hydroxyapatite composite	not applicable	  	    	        
7509379022_K	Homo sapiens	bone	fibroblast	MG-63 cell	osteosarcoma	polylactic acid hydroxyapatite composite	not applicable	  	  	  	0.5 M NaOH	Xpand Biotechnology	cell	MG-63_PLA/nCaP_Xpand Biotechnology_0.5 M NaOH_rep2	P-MTAB-79114	P-MTAB-79119	P-MTAB-79120	P-MTAB-79122	P-MTAB-79115	7509379022_K	P-MTAB-79116	7509379022_K:biotin	biotin	P-MTAB-79117	7509379022_K:biotin	array assay	A-MEXP-2087	ArrayExpress	P-MTAB-79118	StudyID_010_Raw_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.raw.1.zip	P-MTAB-79121	StudyID_010_Processed_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.processed.1.zip	polylactic acid hydroxyapatite composite	not applicable	  	    	        
